id_estacion,hour,weekNumber,dayOfWeek,lat,long,num_bikes_available
2.0,6,38,6,-34.59242329999999,-58.37471510000001,2.0
2.0,7,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,7,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,7,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,7,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,7,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,7,38,5,-34.59242329999999,-58.37471510000001,1.0
2.0,7,38,6,-34.59242329999999,-58.37471510000001,1.0
2.0,8,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,8,38,1,-34.59242329999999,-58.37471510000001,1.0
2.0,8,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,8,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,8,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,8,38,5,-34.59242329999999,-58.37471510000001,0.0
2.0,8,38,6,-34.59242329999999,-58.37471510000001,0.0
2.0,9,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,9,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,9,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,9,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,9,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,9,38,5,-34.59242329999999,-58.37471510000001,0.0
2.0,9,38,6,-34.59242329999999,-58.37471510000001,1.0
2.0,10,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,10,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,10,38,2,-34.59242329999999,-58.37471510000001,1.0
2.0,10,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,10,38,4,-34.59242329999999,-58.37471510000001,2.0
2.0,10,38,5,-34.59242329999999,-58.37471510000001,0.0
2.0,10,38,6,-34.59242329999999,-58.37471510000001,2.0
2.0,11,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,11,38,1,-34.59242329999999,-58.37471510000001,0.0
