station_id,month,dayOfWeek,semana_ano,hour,lat,long,num_bikes_available
2,10,0,43,0,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,1,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,2,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,3,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,4,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,5,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,6,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,7,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,8,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,9,-34.59242329999999,-58.37471510000001,1.0
2,10,0,43,10,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,11,-34.59242329999999,-58.37471510000001,1.0
2,10,0,43,12,-34.59242329999999,-58.37471510000001,1.0
2,10,0,43,13,-34.59242329999999,-58.37471510000001,1.0
2,10,0,43,14,-34.59242329999999,-58.37471510000001,1.0
2,10,0,43,15,-34.59242329999999,-58.37471510000001,1.0
2,10,0,43,16,-34.59242329999999,-58.37471510000001,1.0
2,10,0,43,17,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,18,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,19,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,20,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,21,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,22,-34.59242329999999,-58.37471510000001,0.0
2,10,0,43,23,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,0,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,1,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,2,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,3,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,4,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,5,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,6,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,7,-34.59242329999999,-58.37471510000001,1.0
2,10,1,43,8,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,9,-34.59242329999999,-58.37471510000001,1.0
2,10,1,43,10,-34.59242329999999,-58.37471510000001,1.0
2,10,1,43,11,-34.59242329999999,-58.37471510000001,4.0
2,10,1,43,12,-34.59242329999999,-58.37471510000001,1.0
2,10,1,43,13,-34.59242329999999,-58.37471510000001,1.0
2,10,1,43,14,-34.59242329999999,-58.37471510000001,1.0
2,10,1,43,15,-34.59242329999999,-58.37471510000001,1.0
2,10,1,43,16,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,17,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,18,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,19,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,20,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,21,-34.59242329999999,-58.37471510000001,0.0
2,10,1,43,22,-34.59242329999999,-58.37471510000001,1.0
2,10,1,43,23,-34.59242329999999,-58.37471510000001,2.0
2,10,2,43,0,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,1,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,2,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,3,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,4,-34.59242329999999,-58.37471510000001,0.0
2,10,2,43,5,-34.59242329999999,-58.37471510000001,0.0
2,10,2,43,6,-34.59242329999999,-58.37471510000001,0.0
2,10,2,43,7,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,8,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,9,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,10,-34.59242329999999,-58.37471510000001,0.0
2,10,2,43,11,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,12,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,13,-34.59242329999999,-58.37471510000001,2.0
2,10,2,43,14,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,15,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,16,-34.59242329999999,-58.37471510000001,0.0
2,10,2,43,17,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,18,-34.59242329999999,-58.37471510000001,0.0
2,10,2,43,19,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,20,-34.59242329999999,-58.37471510000001,1.0
2,10,2,43,21,-34.59242329999999,-58.37471510000001,0.0
2,10,2,43,22,-34.59242329999999,-58.37471510000001,0.0
2,10,2,43,23,-34.59242329999999,-58.37471510000001,0.0
2,10,3,43,0,-34.59242329999999,-58.37471510000001,1.0
2,10,3,43,1,-34.59242329999999,-58.37471510000001,0.0
2,10,3,43,2,-34.59242329999999,-58.37471510000001,0.0
2,10,3,43,3,-34.59242329999999,-58.37471510000001,0.0
2,10,3,43,4,-34.59242329999999,-58.37471510000001,0.0
2,10,3,43,5,-34.59242329999999,-58.37471510000001,0.0
2,10,3,43,6,-34.59242329999999,-58.37471510000001,1.0
2,10,3,43,7,-34.59242329999999,-58.37471510000001,1.0
2,10,3,43,8,-34.59242329999999,-58.37471510000001,1.0
2,10,3,43,9,-34.59242329999999,-58.37471510000001,2.0
2,10,3,43,10,-34.59242329999999,-58.37471510000001,1.0
2,10,3,43,11,-34.59242329999999,-58.37471510000001,2.0
2,10,3,43,12,-34.59242329999999,-58.37471510000001,2.0
2,10,3,43,13,-34.59242329999999,-58.37471510000001,0.0
