station_id,month,dayOfWeek,semana_ano,hour,lat,long,num_bikes_available
2,9,0,37,0,-34.59242329999999,-58.37471510000001,0.0
2,9,0,37,1,-34.59242329999999,-58.37471510000001,0.0
2,9,0,37,2,-34.59242329999999,-58.37471510000001,0.0
2,9,0,37,3,-34.59242329999999,-58.37471510000001,0.0
2,9,0,37,4,-34.59242329999999,-58.37471510000001,0.0
2,9,0,37,5,-34.59242329999999,-58.37471510000001,1.0
2,9,0,37,6,-34.59242329999999,-58.37471510000001,2.0
2,9,0,37,7,-34.59242329999999,-58.37471510000001,0.0
2,9,0,37,8,-34.59242329999999,-58.37471510000001,0.0
2,9,0,37,9,-34.59242329999999,-58.37471510000001,1.0
2,9,0,37,10,-34.59242329999999,-58.37471510000001,0.0
2,9,0,37,11,-34.59242329999999,-58.37471510000001,1.0
2,9,0,37,12,-34.59242329999999,-58.37471510000001,1.0
2,9,0,37,13,-34.59242329999999,-58.37471510000001,1.0
2,9,0,37,14,-34.59242329999999,-58.37471510000001,1.0
2,9,0,37,15,-34.59242329999999,-58.37471510000001,1.0
2,9,0,37,16,-34.59242329999999,-58.37471510000001,1.0
2,9,0,37,17,-34.59242329999999,-58.37471510000001,2.0
2,9,0,37,18,-34.59242329999999,-58.37471510000001,1.0
2,9,0,37,19,-34.59242329999999,-58.37471510000001,1.0
2,9,0,37,20,-34.59242329999999,-58.37471510000001,0.0
2,9,0,37,21,-34.59242329999999,-58.37471510000001,0.0
2,9,0,37,22,-34.59242329999999,-58.37471510000001,0.0
2,9,0,37,23,-34.59242329999999,-58.37471510000001,1.0
2,9,1,37,0,-34.59242329999999,-58.37471510000001,1.0
2,9,1,37,1,-34.59242329999999,-58.37471510000001,1.0
2,9,1,37,2,-34.59242329999999,-58.37471510000001,1.0
2,9,1,37,3,-34.59242329999999,-58.37471510000001,0.0
2,9,1,37,4,-34.59242329999999,-58.37471510000001,0.0
2,9,1,37,5,-34.59242329999999,-58.37471510000001,0.0
2,9,1,37,6,-34.59242329999999,-58.37471510000001,0.0
2,9,1,37,7,-34.59242329999999,-58.37471510000001,1.0
2,9,1,37,8,-34.59242329999999,-58.37471510000001,0.0
2,9,1,37,9,-34.59242329999999,-58.37471510000001,0.0
2,9,1,37,10,-34.59242329999999,-58.37471510000001,1.0
2,9,1,37,11,-34.59242329999999,-58.37471510000001,1.0
2,9,1,37,12,-34.59242329999999,-58.37471510000001,0.0
2,9,1,37,13,-34.59242329999999,-58.37471510000001,1.0
2,9,1,37,14,-34.59242329999999,-58.37471510000001,1.0
2,9,1,37,15,-34.59242329999999,-58.37471510000001,1.0
